Event,Category,Avg Time (sec),Performance Score
100k Standard Solo,0-22,17098.666666666668,5.848409232688708e-05
100k Standard Solo,23+,17664.333333333332,5.661125054252449e-05
100k Unlimited Solo,0-18,17206.5,5.8117571847848194e-05
100k Unlimited Solo,0-25,15871.333333333334,6.300667870794304e-05
100k Unlimited Solo,19-24,14352.333333333334,6.967508186822119e-05
100k Unlimited Solo,25-29,13496.333333333334,7.409419842426337e-05
100k Unlimited Solo,26+,22950.0,4.3572984749455335e-05
100k Unlimited Solo,30-39,13730.333333333334,7.283144376198684e-05
100k Unlimited Solo,40-49,16301.0,6.134592969756457e-05
100k Unlimited Solo,50-54,18880.0,5.296610169491525e-05
100k Unlimited Solo,55+,22137.33333333333,4.517255917605252e-05
100m,0-12,15.073666666666668,0.0663432772550631
100m,13-14,14.386333333333333,0.0695455443205548
100m,15-18,13.548666666666666,0.07389293168350311
100m,19-29,13.446833333333334,0.07439537412125286
100m,30-39,17.139833333333335,0.0589067609039811
100m,40+,18.776666666666667,0.0532575892064619
100m,40-49,17.950333333333333,0.0557092718798165
100m,50+,16.752333333333333,0.0596931770698609
10k Standard,0-10,2888.204333333333,0.0003462358907431
10k Standard,0-12,2097.9353333333333,0.00047665913285755
10k Standard,0-8,3255.005333333333,0.0003072191586782
10k Standard,13-14,1995.3361666666665,0.0005011734946283001
10k Standard,15-18,1998.6931666666665,0.00050033046383195
10k Standard,19-29,2014.6156666666666,0.0004963727084065
10k Standard,30+,2298.6046666666666,0.000435046536928
10k Standard,30-39,2513.306333333333,0.0003978822584168
10k Standard,40-49,2072.363,0.0004825409448055
10k Standard,50+,2421.4786666666664,0.0004129708073689
10k Standard,9-10,2569.597,0.0003891660832418
10k Unlimited,0-12,2872.378,0.0003481435939141
10k Unlimited,0-14,1771.321,0.0005645504118112
10k Unlimited,13-18,1485.902,0.0006729918931396
10k Unlimited,15-18,1481.7795,0.0006748642426217
10k Unlimited,19-24,1340.9235,0.0007457546981613
10k Unlimited,19-29,1548.5085,0.0006457826999335
10k Unlimited,25-29,1305.0685,0.0007662433044702
10k Unlimited,30+,2186.2635,0.000457401406555
10k Unlimited,30-39,1391.54,0.0007186282823346
10k Unlimited,40-49,1528.3845,0.0006542856198816
10k Unlimited,50-54,1604.829,0.000623119347918
10k Unlimited,55+,1998.0625,0.0005004848446932
30m Wheel Walk,0-12,9.620750000000001,0.10431755004978929
30m Wheel Walk,13-14,8.276,0.120972274900622
