Event,Category,Avg Time (sec),Performance Score
100k Standard Solo,Male 0-22,17098.666666666668,5.848409232688708e-05
100k Standard Solo,Male 23+,17664.333333333332,5.661125054252449e-05
100k Unlimited Solo,Female 0-25,15871.333333333334,6.300667870794304e-05
100k Unlimited Solo,Female 26+,22950.0,4.3572984749455335e-05
100k Unlimited Solo,Male 0-18,17206.5,5.8117571847848194e-05
100k Unlimited Solo,Male 19-24,14352.333333333334,6.967508186822119e-05
100k Unlimited Solo,Male 25-29,13496.333333333334,7.409419842426337e-05
100k Unlimited Solo,Male 30-39,13730.333333333334,7.283144376198684e-05
100k Unlimited Solo,Male 40-49,16301.0,6.134592969756457e-05
100k Unlimited Solo,Male 50-54,18880.0,5.296610169491525e-05
100k Unlimited Solo,Male 55+,22137.333333333332,4.517255917605252e-05
100m,Female 0-12,15.164666666666667,0.06594276168285927
100m,Female 13-14,14.709666666666665,0.06798250583516509
100m,Female 15-18,14.008000000000001,0.0713877784123358
100m,Female 19-29,13.709666666666669,0.07294123367939895
100m,Female 30-39,18.81566666666667,0.053147200028345165
100m,Female 40+,18.776666666666667,0.05325758920646192
100m,Male 0-12,14.982666666666667,0.06674379282726706
100m,Male 13-14,14.063,0.07110858280594468
100m,Male 15-18,13.089333333333334,0.07639808495467046
100m,Male 19-29,13.184,0.0758495145631068
100m,Male 30-39,15.463999999999999,0.06466632177961718
100m,Male 40-49,17.950333333333333,0.05570927187981653
100m,Male 50+,16.752333333333333,0.059693177069860916
10k Standard,Female 0-10,2888.204333333333,0.0003462358907431873
10k Standard,Female 0-12,2097.533,0.00047675054456830957
10k Standard,Female 13-14,1989.1539999999998,0.0005027262846416115
10k Standard,Female 15-18,2004.0110000000002,0.0004989992569901062
10k Standard,Female 19-29,2013.6393333333333,0.0004966132630835247
10k Standard,Female 30+,2298.6046666666666,0.0004350465369280552
10k Standard,Male 0-12,2098.337666666667,0.00047656772114688245
10k Standard,Male 0-8,3255.005333333333,0.00030721915867828586
10k Standard,Male 13-14,2001.5183333333334,0.0004996207046150797
10k Standard,Male 15-18,1993.3753333333334,0.0005016616706738286
10k Standard,Male 19-29,2015.5919999999999,0.0004961321537295247
10k Standard,Male 30-39,2513.3063333333334,0.00039788225841683444
10k Standard,Male 40-49,2072.363,0.00048254094480551914
10k Standard,Male 50+,2421.4786666666664,0.000412970807368941
10k Standard,Male 9-10,2569.597,0.0003891660832418468
10k Unlimited,Female 0-14,1771.321,0.0005645504118112979
10k Unlimited,Female 15-18,1481.7795,0.0006748642426217936
10k Unlimited,Female 19-29,1548.5085,0.0006457826999335167
10k Unlimited,Female 30+,2186.2635,0.0004574014065550653
10k Unlimited,Male 0-12,2872.3779999999997,0.0003481435939141715
10k Unlimited,Male 13-18,1485.902,0.0006729918931396552
10k Unlimited,Male 19-24,1340.9234999999999,0.0007457546981613791
10k Unlimited,Male 25-29,1305.0685,0.0007662433044702251
10k Unlimited,Male 30-39,1391.54,0.0007186282823346796
10k Unlimited,Male 40-49,1528.3845000000001,0.0006542856198816462
10k Unlimited,Male 50-54,1604.829,0.0006231193479180648
10k Unlimited,Male 55+,1998.0625,0.0005004848446932966
30m Wheel Walk,Female 0-12,9.0435,0.1105766572676508
30m Wheel Walk,Female 13-14,7.9935,0.12510164508663288
30m Wheel Walk,Female 15-18,7.051,0.14182385477237272
30m Wheel Walk,Female 19-29,7.3475,0.13610071452875128
30m Wheel Walk,Female 30+,13.8645,0.07212665440513542
30m Wheel Walk,Male 0-12,10.198,0.09805844283192783
30m Wheel Walk,Male 13-14,8.5585,0.1168429047146112
30m Wheel Walk,Male 15-18,6.795,0.14716703458425312
30m Wheel Walk,Male 19-29,6.946,0.1439677512237259
30m Wheel Walk,Male 30-49,15.996500000000001,0.06251367486637702
30m Wheel Walk,Male 50+,23.576999999999998,0.042414217245620736
400m,Female 0-10,81.54366666666667,0.012263368093168895
400m,Female 0-12,64.039,0.015615484314246007
400m,Female 13-14,61.041333333333334,0.016382342019615123
400m,Female 15-18,61.71633333333333,0.01620316609865568
400m,Female 19-29,58.43800000000001,0.017112153051096885
400m,Female 30-39,78.74866666666667,0.012698627701633044
400m,Female 40+,82.125,0.0121765601217656
400m,Male 0-10,77.05933333333333,0.01297701338362647
400m,Male 0-12,64.61966666666667,0.015475164939466312
400m,Male 13-14,60.867333333333335,0.01642917383161192
400m,Male 15-18,58.288000000000004,0.017156189953335163
400m,Male 19-29,57.733000000000004,0.017321116172726168
400m,Male 30-39,71.24133333333333,0.014036795118938445
400m,Male 40-49,73.76533333333333,0.013556503506615573
400m,Male 50+,72.55499999999999,0.013782647646612916
50m One-Foot,Female 0-10,11.128,0.08986340762041696
50m One-Foot,Female 0-12,8.973666666666666,0.11143716801010364
50m One-Foot,Female 13-14,8.640666666666666,0.11573181081706659
50m One-Foot,Female 15-18,8.360999999999999,0.11960291831120681
50m One-Foot,Female 19-29,8.251,0.12119743061447098
50m One-Foot,Female 30+,12.023666666666665,0.08316930498184137
50m One-Foot,Male 0-10,10.143,0.09859016070196194
50m One-Foot,Male 0-12,8.479333333333335,0.11793379982703041
50m One-Foot,Male 13-14,8.391333333333334,0.11917057281321998
50m One-Foot,Male 15-18,7.907333333333334,0.1264648849169547
50m One-Foot,Male 19-29,8.218666666666666,0.12167423750811163
50m One-Foot,Male 30-49,12.707999999999998,0.07869058860560278
50m One-Foot,Male 50+,15.928666666666667,0.06277989369271335
800m,Female 0-10,169.68175000000002,0.005893385705887639
800m,Female 0-12,135.25,0.0073937153419593345
800m,Female 13-14,131.90825,0.007581026963817653
800m,Female 15-18,133.3015,0.007501791052613812
800m,Female 19-29,126.90575,0.007879863599561093
800m,Female 30-39,171.60966666666664,0.005827177567697237
800m,Female 40+,169.29366666666667,0.005906895512925272
800m,Male 0-10,160.56175,0.006228133412845837
800m,Male 0-12,142.89600000000002,0.006998096517747172
800m,Male 13-14,133.6135,0.007484273669951016
