Event,Category,Avg Time (sec),Performance Score
800m,Male 15-18,128.33325000000002,0.007792212852086267
800m,Male 19-29,123.798,0.008077674922050438
800m,Male 30-39,148.9345,0.00671436101104848
800m,Male 40-49,148.99666666666667,0.006711559542719076
800m,Male 50+,152.869,0.0065415486462265075
Cyclocross Standard,Female 0-14,1930.25,0.0005180676078228209
Cyclocross Standard,Female 15-18,1795.0,0.0005571030640668524
Cyclocross Standard,Female 19-29,1884.3333333333333,0.0005306916681408102
Cyclocross Standard,Female 30+,2066.6666666666665,0.00048387096774193554
Cyclocross Standard,Male 0-14,1843.0,0.0005425935973955507
Cyclocross Standard,Male 15-18,1845.0,0.0005420054200542005
Cyclocross Standard,Male 19-29,1814.7996666666668,0.0005510250075352669
Cyclocross Standard,Male 30-49,2057.3333333333335,0.00048606610499027863
Cyclocross Standard,Male 50+,1951.6666666666667,0.0005123825789923142
Downhill Gliding,Female 0-12,20.310000000000002,0.04923682914820285
Downhill Gliding,Female 13-14,18.68,0.05353319057815846
Downhill Gliding,Female 15-18,18.185000000000002,0.05499037668408028
Downhill Gliding,Female 19+,18.04,0.05543237250554324
Downhill Gliding,Male 0-12,17.165,0.058258083309059135
Downhill Gliding,Male 13-18,16.59,0.06027727546714889
Downhill Gliding,Male 19-29,16.240000000000002,0.06157635467980295
Downhill Gliding,Male 30+,24.355,0.04105933073290905
High Jump,Female 0-14,36.0,0.027777777777777776
High Jump,Female 15-18,53.0,0.018867924528301886
High Jump,Female 19+,62.0,0.016129032258064516
High Jump,Male 0-14,53.0,0.018867924528301886
High Jump,Male 15-18,109.0,0.009174311926605505
High Jump,Male 19-29,126.0,0.007936507936507936
High Jump,Male 30+,86.0,0.011627906976744186
IUF Slalom,Female 0-10,25.88,0.03863987635239567
IUF Slalom,Female 0-12,21.77,0.04593477262287552
IUF Slalom,Female 13-14,20.423333333333332,0.048963603721233886
IUF Slalom,Female 15-18,20.25,0.04938271604938271
IUF Slalom,Female 19-29,19.55,0.05115089514066496
IUF Slalom,Female 30+,25.423333333333332,0.039333945194703034
IUF Slalom,Male 0-10,23.05666666666667,0.04337140378776926
IUF Slalom,Male 0-12,21.5,0.046511627906976744
IUF Slalom,Male 13-14,19.386666666666667,0.0515818431911967
IUF Slalom,Male 15-18,18.41,0.054318305268875614
IUF Slalom,Male 19-29,18.843333333333334,0.05306916681408102
IUF Slalom,Male 30-49,25.126666666666665,0.03979835500132661
IUF Slalom,Male 50+,26.13,0.03827018752391887
Long Jump,Female 0-14,225.0,0.0044444444444444444
Long Jump,Female 15-18,205.0,0.004878048780487805
Long Jump,Female 19+,163.33333333333334,0.006122448979591836
Long Jump,Male 0-14,141.66666666666666,0.007058823529411765
Long Jump,Male 15-18,238.33333333333334,0.004195804195804196
Long Jump,Male 19-29,305.0,0.003278688524590164
Long Jump,Male 30+ Place ID Name Distance,216.66666666666666,0.004615384615384616
Marathon Standard,Female 0-14,7439.0,0.00013442667025137788
Marathon Standard,Female 15-20,7199.0,0.00013890818169190166
Marathon Standard,Female 21+,7471.333333333333,0.00013384491835459982
Marathon Standard,Male 0-14,7271.0,0.00013753266400770182
Marathon Standard,Male 15-20,6249.333333333333,0.00016001706848730533
Marathon Standard,Male 21-29,7103.0,0.00014078558355624384
Marathon Standard,Male 30+,7074.0,0.0001413627367825841
Marathon Unlimited,Female 0-19,6822.333333333333,0.00014657741730590706
Marathon Unlimited,Female 19-29,6700.333333333333,0.0001492463061539227
Marathon Unlimited,Female 30+,9543.666666666666,0.00010478153050888897
Marathon Unlimited,Male 0-12,8639.333333333334,0.00011574967204259587
Marathon Unlimited,Male 13-18,6406.0,0.00015610365282547612
Marathon Unlimited,Male 19-24,5702.0,0.00017537706068046299
Marathon Unlimited,Male 25-29,5592.333333333333,0.0001788162365142755
Marathon Unlimited,Male 30-39,5860.333333333333,0.00017063875774984359
Marathon Unlimited,Male 40-49,6362.0,0.00015718327569946557
Marathon Unlimited,Male 50-54,7955.333333333333,0.00012570183524679462
Marathon Unlimited,Male 55+,8200.0,0.00012195121951219512
Muni Cross Country Beginner,Female 0-14,1773.3333333333333,0.0005639097744360903
Muni Cross Country Beginner,Female 15-18,1605.6666666666667,0.0006227942702927133
Muni Cross Country Beginner,Female 19-29,1530.3333333333333,0.000653452406883032
Muni Cross Country Beginner,Female 30+,2003.3333333333333,0.0004991680532445924
Muni Cross Country Beginner,Male 0-14,1597.0,0.0006261740763932373
Muni Cross Country Beginner,Male 15-18,1422.3333333333333,0.0007030700726505742
Muni Cross Country Beginner,Male 19-29,1462.3333333333333,0.0006838386140870754
Muni Cross Country Beginner,Male 30-49,1535.6666666666667,0.0006511829824180595
Muni Cross Country Beginner,Male 50+,2084.0,0.0004798464491362764
Muni Cross Country Elite Standard,Female 0-18,4222.333333333333,0.00023683587274019106
Muni Cross Country Elite Standard,Female 19+,4497.0,0.00022237046920169
Muni Cross Country Elite Standard,Male 0-18,3607.6666666666665,0.0002771874711263051
Muni Cross Country Elite Standard,Male 19-29,3346.6666666666665,0.00029880478087649406
Muni Cross Country Elite Standard,Male 30-49,4074.6666666666665,0.00024541884816753925
Muni Cross Country Elite Standard,Male 50+,4979.666666666667,0.00020081665439453778
Muni Downhill Advanced,Female 0-18,93.0,0.010752688172043012
Muni Downhill Advanced,Female 19+,117.03333333333335,0.008544574195385929
Muni Downhill Advanced,Male 0-18,77.7,0.01287001287001287
Muni Downhill Advanced,Male 19-29,75.00333333333333,0.01333274076707702
Muni Downhill Advanced,Male 30-49,91.0,0.01098901098901099
Muni Downhill Advanced,Male 50+,154.0,0.006493506493506494
Muni Downhill Beginner,Female 0-14,225.64249999999998,0.004431789224104502
Muni Downhill Beginner,Female 15-29,163.38400000000001,0.00612055035988836
Muni Downhill Beginner,Female 30+,244.3515,0.004092465157774763
Muni Downhill Beginner,Male 0-14,217.8465,0.004590388186176964
Muni Downhill Beginner,Male 15-29,156.5285,0.006388612936302334
Muni Downhill Beginner,Male 30-49,180.15550000000002,0.0055507603153942
Muni Downhill Beginner,Male 50+,261.1385,0.003829385555940621
Muni Uphill,Female 0-14,315.15,0.0031730921783277807
Muni Uphill,Female 15-18,349.54999999999995,0.0028608210556429698
Muni Uphill,Female 19+,462.55,0.0021619284401686303
Muni Uphill,Male 0-14,407.55,0.00245368666421298
Muni Uphill,Male 15-18,215.33333333333334,0.0046439628482972135
Muni Uphill,Male 19-29,190.53333333333333,0.005248425472358292
Muni Uphill,Male 30-49,239.1,0.004182350480970306
Muni Uphill,Male 50+,961.7333333333332,0.0010397892693747401
Platform High Jump,Female 0-18,50.0,0.02
Platform High Jump,Female 19+,53.0,0.018867924528301886
Platform High Jump,Male 0-18,109.33333333333333,0.009146341463414635
Platform High Jump,Male 19-29,131.0,0.007633587786259542
Platform High Jump,Male 30+,81.0,0.012345679012345678
Platform Long Jump,Female 0-18,140.0,0.007142857142857143
Platform Long Jump,Female 19+,136.66666666666666,0.007317073170731708
Platform Long Jump,Male 0-18,225.0,0.0044444444444444444
Platform Long Jump,Male 19+,271.6666666666667,0.003680981595092024
Rail Race,Female 0-13,6.75,0.14814814814814814
Rail Race,Female 14-15,9.2,0.10869565217391305
Rail Race,Female 16-19,10.75,0.09302325581395349
Rail Race,Female 20-24,5.0,0.2
Rail Race,Female 25+,6.449999999999999,0.1550387596899225
Rail Race,Male 0-10,5.0,0.2
Rail Race,Male 11-12,6.1,0.1639344262295082
Rail Race,Male 13-14,14.8,0.06756756756756756
Rail Race,Male 15-16,29.75,0.03361344537815126
Rail Race,Male 17-18,30.6,0.032679738562091505
Rail Race,Male 19-21,46.28,0.021607605877268798
Rail Race,Male 22-29,36.25,0.027586206896551724
Rail Race,Male 30+,6.5,0.15384615384615385
Slow Backward,Female 0-10,13.615000000000002,0.07344840249724567
Slow Backward,Female 11-12,38.575,0.025923525599481526
Slow Backward,Female 13-15,22.630000000000003,0.04418912947414935
Slow Backward,Female 16+,102.505,0.009755621676991367
Slow Backward,Male 0-10,19.55,0.05115089514066496
Slow Backward,Male 11-12,24.284999999999997,0.041177681696520495
Slow Backward,Male 13-15,43.685,0.022891152569531874
Slow Backward,Male 16-29,70.495,0.01418540322008653
Slow Backward,Male 30+,9.175,0.108991825613079
Slow Forward,Female 0-10,22.74,0.04397537379067722
Slow Forward,Female 11-12,30.87,0.032393909944930355
Slow Forward,Female 13-15,54.79333333333333,0.018250395425234215
Slow Forward,Female 16+,82.96,0.012054001928640309
Slow Forward,Male 0-10,25.67,0.03895597974289053
Slow Forward,Male 11-12,28.76,0.03477051460361613
Slow Forward,Male 13-15,73.18666666666667,0.013663691018400438
Slow Forward,Male 16-29,114.11,0.008763473841030585
Slow Forward,Male 30+,11.833333333333334,0.08450704225352113
Speed Trials,Female 0-18,13.173333333333332,0.07591093117408908
Speed Trials,Female 19+,23.903333333333336,0.041835169432436196
Speed Trials,Male 0-18,24.77,0.04037141703673799
Speed Trials,Male 19-21,14.343333333333334,0.06971880083662561
Speed Trials,Male 22-25,11.146666666666667,0.08971291866028708
Speed Trials,Male 26+,13.82,0.0723589001447178
Stillstand,Female 0-11,26.096666666666664,0.03831907012389833
Stillstand,Female 12-14,91.21333333333332,0.010963309457681626
Stillstand,Female 15+,904.8299999999999,0.0011051799785595086
Stillstand,Male 0-11,9.6625,0.1034928848641656
Stillstand,Male 12-18,369.9066666666667,0.0027033846375662325
Stillstand,Male 19+,338.71500000000003,0.002952334558552175
Track Coasting,Female 0-12,24.666666666666668,0.040540540540540536
Track Coasting,Female 13-14,76.0,0.013157894736842105
Track Coasting,Female 15-18,90.3,0.01107419712070875
Track Coasting,Female 19+,125.43333333333334,0.007972362476747276
Track Coasting,Male 0-12,38.166666666666664,0.026200873362445417
Track Coasting,Male 13-18,76.8,0.013020833333333334
Track Coasting,Male 19+,96.7,0.010341261633919338
Trials,Female 0-17,17.5,0.05714285714285714
Trials,Female 18-20,27.0,0.037037037037037035
Trials,Female 21+,22.5,0.044444444444444446
Trials,Male 0-14,22.5,0.044444444444444446
Trials,Male 15-17,56.0,0.017857142857142856
Trials,Male 18-20,100.0,0.01
Trials,Male 21-23,149.0,0.006711409395973154
Trials,Male 24-29,149.0,0.006711409395973154
Trials,Male 30+,66.0,0.015151515151515152
