Event,Category,Avg Time (sec),Performance Score
100k Standard Solo,0-22,17098.666666666668,5.848409232688708e-05
100k Unlimited Solo,0-18,17206.5,5.8117571847848194e-05
100k Unlimited Solo,0-25,15871.333333333334,6.300667870794304e-05
100k Unlimited Solo,19-24,14352.333333333334,6.967508186822119e-05
100k Unlimited Solo,25-29,13496.333333333334,7.409419842426337e-05
100k Unlimited Solo,30-39,13730.333333333334,7.283144376198684e-05
100k Unlimited Solo,40-49,16301.0,6.134592969756457e-05
100k Unlimited Solo,50-54,18880.0,5.296610169491525e-05
100m,0-12,15.073666666666668,0.0663432772550631
100m,13-14,14.386333333333333,0.0695455443205548
100m,15-18,13.548666666666666,0.07389293168350311
100m,19-29,13.446833333333334,0.07439537412125286
100m,30-39,17.139833333333335,0.0589067609039811
100m,40-49,17.950333333333333,0.0557092718798165
10k Standard,0-10,2888.204333333333,0.0003462358907431
10k Standard,0-12,2097.9353333333333,0.00047665913285755
10k Standard,0-8,3255.005333333333,0.0003072191586782
10k Standard,13-14,1995.3361666666665,0.0005011734946283001
10k Standard,15-18,1998.6931666666665,0.00050033046383195
10k Standard,19-29,2014.6156666666666,0.0004963727084065
10k Standard,30-39,2513.306333333333,0.0003978822584168
10k Standard,40-49,2072.363,0.0004825409448055
10k Standard,9-10,2569.597,0.0003891660832418
10k Unlimited,0-12,2872.378,0.0003481435939141
10k Unlimited,0-14,1771.321,0.0005645504118112
10k Unlimited,13-18,1485.902,0.0006729918931396
10k Unlimited,15-18,1481.7795,0.0006748642426217
10k Unlimited,19-24,1340.9235,0.0007457546981613
10k Unlimited,19-29,1548.5085,0.0006457826999335
10k Unlimited,25-29,1305.0685,0.0007662433044702
10k Unlimited,30-39,1391.54,0.0007186282823346
10k Unlimited,40-49,1528.3845,0.0006542856198816
10k Unlimited,50-54,1604.829,0.000623119347918
30m Wheel Walk,0-12,9.620750000000001,0.10431755004978929
30m Wheel Walk,13-14,8.276,0.120972274900622
30m Wheel Walk,15-18,6.923,0.14449544467831288
30m Wheel Walk,19-29,7.14675,0.14003423287623856
30m Wheel Walk,30-49,15.9965,0.062513674866377
400m,0-10,79.3015,0.0126201907383976
400m,0-12,64.32933333333334,0.01554532462685615
400m,13-14,60.95433333333333,0.0164057579256135
400m,15-18,60.00216666666667,0.016679678025995348
400m,19-29,58.0855,0.017216634611911447
400m,30-39,74.995,0.0133677114102857
400m,40-49,73.76533333333333,0.0135565035066155
50m One-Foot,0-10,10.6355,0.0942267841611894
50m One-Foot,0-12,8.726500000000001,0.114685483918567
50m One-Foot,13-14,8.516,0.1174511918151432
50m One-Foot,15-18,8.134166666666665,0.12303390161408076
50m One-Foot,19-29,8.234833333333333,0.12143583406129124
50m One-Foot,30-49,12.707999999999998,0.0786905886056027
800m,0-10,165.12175000000002,0.0060607595593667
800m,0-12,139.073,0.0071959059298532
800m,13-14,132.760875,0.0075326503168843
800m,15-18,130.81737500000003,0.00764700195235
800m,19-29,125.351875,0.0079787692608057
800m,30-39,160.27208333333334,0.006270769289372801
800m,40-49,148.99666666666667,0.006711559542719
Cyclocross Standard,0-14,1886.625,0.0005303306026091499
Cyclocross Standard,15-18,1820.0,0.0005495542420605
Cyclocross Standard,19-29,1849.5665,0.0005408583378379999
Cyclocross Standard,30-49,2057.333333333333,0.0004860661049902
Downhill Gliding,0-12,18.737499999999997,0.053747456228630947
Downhill Gliding,13-14,18.68,0.0535331905781584
Downhill Gliding,13-18,16.59,0.0602772754671488
Downhill Gliding,15-18,18.185,0.0549903766840802
Downhill Gliding,19-29,16.240000000000002,0.0615763546798029
High Jump,0-14,44.5,0.02332285115303975
High Jump,15-18,81.0,0.014021118227453649
High Jump,19-29,126.0,0.0079365079365079
IUF Slalom,0-10,24.468333333333334,0.0410056400700824
IUF Slalom,0-12,21.634999999999998,0.0462232002649261
IUF Slalom,13-14,19.904999999999998,0.05027272345621525
IUF Slalom,15-18,19.33,0.05185051065912915
IUF Slalom,19-29,19.196666666666665,0.05211003097737295
